Fecha,Vendedor,Región,Artículo,Categoría,Unidades,Ganancia
1/1/2016,Steve Ashton,Norte,Medias Femeninas,Vestimenta,6,18
1/1/2016,Trevor Snodgrass,Oeste,Chocolate,Comestibles,8,3.84
1/1/2016,Sarah Bond,Sur,Gorras,Vestimenta,3,6.3
1/1/2016,Desmond Delaney,Sur,Sánguche de Queso,Comestibles,9,14.4
1/1/2016,Desmond Delaney,Este,Chocolate,Comestibles,14,6.72
1/1/2016,Trevor Snodgrass,Este,Cerveza,Comestibles,15,6
1/1/2016,Boris Stanford,Norte,Pepinillo,Comestibles,14,4.2
1/1/2016,Steve Ashton,Oeste,Gorras,Vestimenta,2,4.2
1/1/2016,Trevor Snodgrass,Este,Pan,Comestibles,12,4.8
1/1/2016,Sarah Bond,Este,Caramelos,Comestibles,15,9
1/1/2016,Trevor Snodgrass,Sur,Pan,Comestibles,6,2.4
1/1/2016,Boris Stanford,Oeste,Calcetines,Vestimenta,7,15.75
1/1/2016,Trevor Snodgrass,Sur,Shorts,Vestimenta,6,29.4
1/2/2016,Steve Ashton,Este,Detergente,Hogar,7,17.36
1/2/2016,Boris Stanford,Norte,Sánguche de Queso,Comestibles,8,12.8
1/2/2016,Desmond Delaney,Oeste,Pepinillo,Comestibles,5,1.5
1/2/2016,Dustin Gee,Norte,Sandalias,Vestimenta,7,73.5
1/2/2016,Trevor Snodgrass,Este,Pan,Comestibles,5,2
1/2/2016,Steve Ashton,Este,Cerveza,Comestibles,1,0.4
1/2/2016,Trevor Snodgrass,Sur,Escoba,Hogar,11,40.15
1/2/2016,Boris Stanford,Este,Calcetines,Vestimenta,12,27
1/2/2016,Boris Stanford,Oeste,Bufanda,Vestimenta,14,38.5
1/2/2016,Boris Stanford,Oeste,Sánguche de Queso,Comestibles,2,3.2
1/2/2016,Sarah Bond,Norte,Bufanda,Vestimenta,4,11
1/2/2016,Steve Ashton,Norte,Sánguche de Queso,Comestibles,10,16
1/2/2016,Boris Stanford,Este,Pan,Comestibles,4,1.6
1/2/2016,Steve Ashton,Sur,Bufanda,Vestimenta,12,33
1/2/2016,Sarah Bond,Este,Escoba,Hogar,12,43.8
1/3/2016,Desmond Delaney,Este,Medias Femeninas,Vestimenta,7,21
1/3/2016,Boris Stanford,Sur,Shorts,Vestimenta,5,24.5
1/3/2016,Dustin Gee,Oeste,Lejía,Hogar,11,34.1
1/3/2016,Dustin Gee,Este,Escoba,Hogar,14,51.1
1/3/2016,Desmond Delaney,Este,Trapo Piso,Hogar,7,3.92
1/3/2016,Desmond Delaney,Este,Detergente,Hogar,6,14.88
1/3/2016,Desmond Delaney,Oeste,Medias Femeninas,Vestimenta,6,18
1/3/2016,Dustin Gee,Norte,Medias Femeninas,Vestimenta,6,18
1/3/2016,Boris Stanford,Este,Shorts,Vestimenta,7,34.3
1/4/2016,Trevor Snodgrass,Sur,Lejía,Hogar,7,21.7
1/4/2016,Steve Ashton,Oeste,Gorras,Vestimenta,13,27.3
1/4/2016,Dustin Gee,Sur,Sudadera,Vestimenta,3,18
1/4/2016,Dustin Gee,Este,Bufanda,Vestimenta,12,33
1/4/2016,Steve Ashton,Norte,Pan,Comestibles,15,6
1/4/2016,Sarah Bond,Sur,Detergente,Hogar,11,27.28
1/4/2016,Boris Stanford,Este,Sandalias,Vestimenta,9,94.5
1/4/2016,Dustin Gee,Sur,Soda,Comestibles,3,1.92
1/4/2016,Dustin Gee,Sur,Soda,Comestibles,14,8.96
1/4/2016,Trevor Snodgrass,Norte,Escoba,Hogar,2,7.3
1/4/2016,Dustin Gee,Sur,Caramelos,Comestibles,12,7.2
1/4/2016,Sarah Bond,Este,Shorts,Vestimenta,2,9.8
1/4/2016,Sarah Bond,Norte,Shorts,Vestimenta,12,58.8
1/4/2016,Boris Stanford,Este,Shorts,Vestimenta,5,24.5
1/4/2016,Dustin Gee,Este,Escoba,Hogar,13,47.45
1/4/2016,Boris Stanford,Sur,Sandalias,Vestimenta,4,42
1/4/2016,Boris Stanford,Norte,Calcetines,Vestimenta,6,13.5
1/4/2016,Trevor Snodgrass,Este,Detergente,Hogar,14,34.72
1/4/2016,Sarah Bond,Sur,Escoba,Hogar,5,18.25
1/4/2016,Desmond Delaney,Sur,Pepinillo,Comestibles,6,1.8
1/4/2016,Dustin Gee,Este,Gorras,Vestimenta,2,4.2
1/4/2016,Sarah Bond,Este,Bufanda,Vestimenta,14,38.5
1/4/2016,Desmond Delaney,Este,Pepinillo,Comestibles,8,2.4
1/4/2016,Sarah Bond,Este,Escobillón,Hogar,3,2.55
1/5/2016,Steve Ashton,Sur,Pepinillo,Comestibles,15,4.5
1/5/2016,Sarah Bond,Norte,Cerveza,Comestibles,3,1.2
1/5/2016,Trevor Snodgrass,Oeste,Cerveza,Comestibles,10,4
1/5/2016,Boris Stanford,Sur,Pan,Comestibles,4,1.6
1/5/2016,Sarah Bond,Norte,Pan,Comestibles,3,1.2
1/5/2016,Boris Stanford,Este,Escobillón,Hogar,8,6.8
1/5/2016,Sarah Bond,Este,Limpiavidrios,Hogar,5,4
1/5/2016,Dustin Gee,Oeste,Trapo Piso,Hogar,12,6.72
1/5/2016,Trevor Snodgrass,Norte,Calcetines,Vestimenta,4,9
1/5/2016,Trevor Snodgrass,Este,Bufanda,Vestimenta,3,8.25
1/5/2016,Boris Stanford,Sur,Shorts,Vestimenta,1,4.9
1/5/2016,Steve Ashton,Norte,Shorts,Vestimenta,11,53.9
1/5/2016,Desmond Delaney,Norte,Bombilla,Hogar,15,9
1/5/2016,Dustin Gee,Oeste,Lejía,Hogar,9,27.9
1/5/2016,Desmond Delaney,Sur,Lejía,Hogar,6,18.6
1/5/2016,Desmond Delaney,Este,Pan,Comestibles,8,3.2
1/5/2016,Desmond Delaney,Norte,Medias Femeninas,Vestimenta,13,39
1/5/2016,Dustin Gee,Norte,Escoba,Hogar,5,18.25
1/5/2016,Desmond Delaney,Oeste,Soda,Comestibles,5,3.2
1/6/2016,Steve Ashton,Sur,Sánguche de Queso,Comestibles,13,20.8
1/6/2016,Desmond Delaney,Sur,Sandalias,Vestimenta,15,157.5
1/6/2016,Desmond Delaney,Sur,Sandalias,Vestimenta,15,157.5
1/6/2016,Desmond Delaney,Norte,Sandalias,Vestimenta,10,105
1/6/2016,Dustin Gee,Este,Chocolate,Comestibles,12,5.76
1/6/2016,Sarah Bond,Norte,Gorras,Vestimenta,9,18.9
1/6/2016,Steve Ashton,Sur,Bufanda,Vestimenta,1,2.75
1/6/2016,Boris Stanford,Oeste,Sudadera,Vestimenta,2,12
1/6/2016,Desmond Delaney,Sur,Escoba,Hogar,8,29.2
1/6/2016,Sarah Bond,Sur,Cerveza,Comestibles,15,6
1/6/2016,Boris Stanford,Norte,Calcetines,Vestimenta,11,24.75
1/6/2016,Desmond Delaney,Este,Bombilla,Hogar,7,4.2
1/6/2016,Dustin Gee,Oeste,Medias Femeninas,Vestimenta,15,45
1/6/2016,Boris Stanford,Norte,Chocolate,Comestibles,2,0.96
1/6/2016,Boris Stanford,Oeste,Pan,Comestibles,8,3.2
1/6/2016,Trevor Snodgrass,Norte,Limpiavidrios,Hogar,2,1.6
1/6/2016,Desmond Delaney,Norte,Sudadera,Vestimenta,1,6
1/6/2016,Steve Ashton,Sur,Sandalias,Vestimenta,4,42
1/6/2016,Trevor Snodgrass,Este,Pan,Comestibles,2,0.8
1/6/2016,Dustin Gee,Sur,Limpiavidrios,Hogar,14,11.2
1/7/2016,Sarah Bond,Norte,Detergente,Hogar,6,14.88
1/7/2016,Steve Ashton,Oeste,Escoba,Hogar,13,47.45
1/7/2016,Boris Stanford,Sur,Escoba,Hogar,5,18.25
1/7/2016,Dustin Gee,Sur,Shorts,Vestimenta,9,44.1
1/7/2016,Sarah Bond,Este,Calcetines,Vestimenta,13,29.25
1/7/2016,Dustin Gee,Sur,Chocolate,Comestibles,9,4.32
1/7/2016,Sarah Bond,Oeste,Calcetines,Vestimenta,8,18
1/7/2016,Steve Ashton,Norte,Escobillón,Hogar,14,11.9
1/7/2016,Sarah Bond,Norte,Pan,Comestibles,4,1.6
1/7/2016,Trevor Snodgrass,Norte,Pan,Comestibles,12,4.8
1/7/2016,Steve Ashton,Norte,Bombilla,Hogar,3,1.8
1/7/2016,Dustin Gee,Norte,Detergente,Hogar,4,9.92
1/7/2016,Desmond Delaney,Norte,Pan,Comestibles,6,2.4
1/8/2016,Desmond Delaney,Este,Caramelos,Comestibles,3,1.8
1/8/2016,Sarah Bond,Oeste,Trapo Piso,Hogar,9,5.04
1/8/2016,Steve Ashton,Este,Chocolate,Comestibles,10,4.8
1/8/2016,Desmond Delaney,Sur,Bufanda,Vestimenta,10,27.5
1/8/2016,Trevor Snodgrass,Oeste,Pepinillo,Comestibles,5,1.5
1/8/2016,Dustin Gee,Norte,Bufanda,Vestimenta,15,41.25
1/8/2016,Trevor Snodgrass,Este,Bombilla,Hogar,5,3
1/8/2016,Boris Stanford,Sur,Calcetines,Vestimenta,6,13.5
1/8/2016,Steve Ashton,Oeste,Pan,Comestibles,12,4.8
1/8/2016,Desmond Delaney,Sur,Soda,Comestibles,5,3.2
1/8/2016,Sarah Bond,Sur,Bufanda,Vestimenta,4,11
1/8/2016,Sarah Bond,Sur,Sandalias,Vestimenta,15,157.5
1/8/2016,Steve Ashton,Norte,Calcetines,Vestimenta,8,18
1/8/2016,Sarah Bond,Norte,Calcetines,Vestimenta,3,6.75
1/8/2016,Sarah Bond,Norte,Sánguche de Queso,Comestibles,14,22.4
1/8/2016,Desmond Delaney,Este,Detergente,Hogar,15,37.2
1/8/2016,Desmond Delaney,Norte,Medias Femeninas,Vestimenta,12,36
1/8/2016,Boris Stanford,Este,Medias Femeninas,Vestimenta,2,6
1/9/2016,Dustin Gee,Oeste,Detergente,Hogar,8,19.84
